0,22,250,2,0
22,1,1125,38,0
29,1,3375,38,0
22,9,250,48,0
22,13,4500,28,0
22,22,3375,28,0
0,9,3375,48,0
0,9,4500,38,0
29,13,5625,48,0
37,22,2250,28,0
37,22,1125,38,0
14,18,3375,9,0
0,1,2250,38,0
29,13,5625,48,0
0,18,3375,9,0
22,9,2250,9,0
14,9,250,2,0
37,4,5625,48,0
14,13,2250,48,0
29,9,3375,2,0
0,1,2250,28,0
29,1,1125,19,0
7,1,3375,38,0
29,4,3375,2,0
29,9,5625,48,0
37,13,1125,28,0
29,1,4500,48,0
7,18,250,48,0
0,18,3375,2,0
0,9,5625,2,0
37,22,3375,28,0
29,9,4500,19,0
0,4,1125,48,0
0,13,250,9,0
7,22,4500,19,0
14,18,5625,9,0
7,18,250,19,0
22,9,2250,19,0
29,22,2250,9,0
14,9,3375,38,0
29,13,1125,28,0
37,1,3375,9,0
37,18,3375,2,0
37,18,3375,2,0
37,1,5625,19,0
37,22,5625,28,0
0,13,5625,48,0
0,18,250,28,0
14,1,4500,28,0
22,13,1125,28,0
7,4,5625,38,0
14,1,2250,2,0
7,13,4500,9,0
22,9,3375,28,0
14,1,250,19,0
0,4,4500,9,0
14,13,250,19,0
37,1,250,2,0
22,18,5625,28,0
29,1,250,9,0
0,4,2250,28,0
37,1,5625,38,0
0,13,4500,28,0
29,1,4500,38,0
14,1,5625,9,0
14,22,250,48,0
14,18,3375,2,0
7,13,4500,38,0
29,9,250,48,0
0,18,5625,19,0
7,4,1125,28,0
0,22,4500,19,0
37,1,4500,2,0
14,22,4500,38,0
7,22,5625,38,0
0,22,1125,2,0
14,18,250,28,0
14,13,250,28,0
29,1,5625,28,0
0,18,4500,38,0
7,22,3375,19,0
14,1,4500,9,0
37,13,1125,28,0
0,1,250,28,0
29,9,250,19,0
14,1,1125,2,0
37,4,250,2,0
29,1,1125,19,0
7,13,3375,38,0
0,22,250,19,0
14,1,250,9,0
22,18,1125,38,0
0,1,250,9,0
37,4,3375,38,0
0,9,1125,2,0
14,9,3375,28,0
37,13,1125,38,0
37,1,5625,9,0
7,4,2250,9,0
0,18,2250,2,0
